"";"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"86";"Heidrich, Wolfgang W";"Department Computer Science";"British Columbia";"EQPEQ";"Mechanical actuators for imaging and vision research";"1";"$25,700.00";25700
"87";"Hendren, Laurie LJ";"Department Computer Science, School of";"McGill";"RGPIN";"Languages, compilers and virtual machines for scientists";"5";"$43,000.00";43000
"88";"Heywood, Malcolm MI";"Department Computer Science, Faculty of";"Dalhousie";"EQPEQ";"Computing support for computational intelligence and network mining lab";"1";"$44,955.00";44955
"89";"Heywood, Malcolm MI";"Department Computer Science, Faculty of";"Dalhousie";"RGPIN";"Continuous symbiotic program evolution";"5";"$25,000.00";25000
"90";"Hogue, Andrew AR";"Department Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Variational map representation for robotics";"5";"$20,000.00";20000
"91";"Hoos, Holger HH";"Department Computer Science";"British Columbia";"RGPIN";"Programming by optimisation: Computer-aided design of high-performance algorithms for hard combinatorial problems";"5";"$60,000.00";60000
"92";"Hu, Alan AJ";"Department Computer Science";"British Columbia";"RGPIN";"Extending the success of formal hardware verification to system software";"5";"$34,000.00";34000
"93";"Huang, Changcheng C";"Department Systems and Computer Engineering";"Carleton";"RGPIN";"Peer-to-peer multimedia applications over wireless networks";"5";"$25,000.00";25000
"94";"Huang, Elaine EM";"Department Computer Science";"Calgary";"RGPIN";"Designing sustainable computing technologies";"5";"$25,000.00";25000
"95";"Huang, Xiangji (Jimmy) X";"Department Information Technology, School of";"York";"RGPIN";"Context-sensitive and task-oriented adaptive information retrieval";"5";"$31,000.00";31000
"96";"Hung, Patrick PCK";"Department Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Services-oriented architecture for motion sensing services";"5";"$20,000.00";20000
"97";"Ilie, Lucian L";"Department Computer Science";"Western Ontario";"RGPIN";"Combinatorial algorithms for approximate string searching and DNA sequencing";"5";"$25,000.00";25000
"98";"Ilyas, Ihab IF";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Probabilistic retrieval and cleaning of large uncertain and inconsistent databases";"5";"$43,000.00";43000
"99";"Jamali, Nadeem N";"Department Computer Science";"Saskatchewan";"RGPIN";"Resource aware open distributed systems";"5";"$15,000.00";15000
