"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Amza, Cristiana C";"Electrical and Computer Engineering, Edward S. Rogers Sr. Department of";"Toronto";"RGPIN";"Chorus: A Resource Management Framework for Cost Effective Quality of Service in Cloud Environments";"5";28000;2012
"Andrews, James H";"Computer Science";"Western Ontario";"RGPIN";"Testing and Debugging: Connecting Research with Practice";"5";28000;2012
"Arnold, Dirk DV";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Constraint handling in evolutionary algorithms";"5";17000;2012
"Atlee, Joanne JM";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Modelling and Analysis of Feature-Oriented Software";"5";34000;2012
"Aubanel, Eric E A";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Parallel Heterogeneous Algorithms for Computational Science";"5";14000;2012
"Balakrishnan, Ravin R";"Computer Science";"Toronto";"RGPIN";"User Interfaces and Visualization for Variable Format Displays.";"5";52000;2012
"Baniasadi, Amirali A";"Electrical and Computer Engineering";"Victoria";"RGPIN";"Power-Aware Multicore Processing";"5";22000;2012
"Banzhaf, Wolfgang WD";"Computer Science";"Memorial Univ. of Nfld";"RGPIN";"From Genetic Programming to Computational Evolution";"5";34000;2012
"Barron, John JL";"Computer Science";"Western Ontario";"RGPIN";"The Measurement and Interpretation of 2D and 3D Image Motion";"5";14000;2012
"Bartram, Linda (Lyn) LR";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Ambient and Ubiquitous Visualization for Sustainability";"5";14000;2012
"Beaudry, Eric E";"Informatique";"Quebec a Montreal";"RGPIN";"Algorithmes de planification appliques aux jeux serieux";"5";19000;2012
"Bener, Ayse AB";"Information and Technology Management, School of (ITM)";"Ryerson";"RGPIN";"Decision Making under Uncertainty in Software Engineering: Release Readiness";"5";28000;2012
"Bentahar, Jamal J";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Intelligent, Strategic and Verifiable Agent-based Communities of Web Services: Theoretical Foundations and Automation";"5";28000;2012
"Berenbrink, Petra P";"Computing Science, School of";"Simon Fraser";"RGPIN";"Randomized Algorithms for Distributed Systems";"5";42000;2012
"Bhavsar, Virendrakumar VC";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Parallel and Distributed Intelligent Systems";"5";14000;2012
"Bonakdarpour, Borzoo B";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Automated Construction of Dependable Component-based Cyber-physical Models";"5";27000;2012
"Bonner, Anthony AJB";"Computer Science";"Toronto";"RGPIN";"Computational Methods for Detecting Multi-gene Relationships in Gene Expression Data";"5";17000;2012
"Borodin, Allan B";"Computer Science";"Toronto";"RGPIN";"Design, analysis and theory of algorithms";"5";74000;2012
"Boufama, Boubakeur S";"Computer Science, School of";"Windsor";"RGPIN";"Semantic Structure from Multiple Uncalibrated Images";"5";14000;2012
"Bouguila, Nizar N";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Apprentissage statistique hybride (generatif/discriminatif) de modèles multi-relationnels dynamiques et Applications";"5";28000;2012
"Boulanger, Pierre PB";"Computing Science";"Alberta";"RGPIN";"TEMIS-Training Environments for Minimally Invasive Surgery";"1";17000;2012
"Bouzouane, Abdenour A";"Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Fouille de donnees spatio-temporelles et multidimensionnelles pour la reconnaissance d'activites: habitat intelligent";"5";14000;2012
"Bowling, Michael MH";"Computing Science";"Alberta";"RGPIN";"Human-Scale Game Theory in Imperfect Information Settings";"5";42000;2012
"Boykov, Yuri YY";"Computer Science";"Western Ontario";"RGPIN";"Combinatorial Optimization Methods for Computer Vision and Bio-medical Image Analysis";"5";42000;2012
"Brecht, Timothy B";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Evolving the HTTP Ecosystem to Efficiently Support Video and other Large Files";"5";28000;2012
"Buro, Michael M";"Computing Science";"Alberta";"RGPIN";"Search, Opponent Modelling, Cooperation, and State Inference in Complex Imperfect Information Domains.";"5";17000;2012
"Butz, Cory J";"Computer Science";"Regina";"RGPIN";"Identifying, Understanding, and Exploiting Semantics During Exact Inference in Discrete Bayesian Networks";"5";14000;2012
"Carenini, Giuseppe G";"Computer Science";"British Columbia";"RGPIN";"Integrating Methods for Mining and Summarizing Text Conversations";"5";14000;2012
"Carette, Jacques JLSJ";"Computing and Software";"McMaster";"RGPIN";"Disciplined Meta-Programming";"5";22000;2012
"Carpendale, Sheelagh MST";"Computer Science";"Calgary";"RGPIN";"Interactive Visualization";"5";62000;2012
"Chang, Xiao-Wen XW";"Computer Science, School of";"McGill";"RGPIN";"Algorithms, Analysis, Applications and Software of Numerical Linear Algebra";"5";22000;2012
"Chen, Yangjun YC";"Applied Computer Science";"Winnipeg";"RGPIN";"Reachability Queries and Graph Pattern Queries in Graph Databases";"5";14000;2012
"Cheng, Howard Chi Ho HCH";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Space-efficient algorithms in computer algebra and image processing applications";"5";17000;2012
"Cherkaoui, Omar O";"Informatique";"Quebec a Montreal";"RGPIN";"Optimal resource allocation of virtualized router: a multi-objective approach";"5";17000;2012
"Chiasson, Sonia SA";"Computer Science, School of";"Carleton";"RGPIN";"Universal Usable Security";"5";22000;2012
"Corbo, Jacomo J";"Telfer School of Management";"Ottawa";"RGPIN";"Information Network Flows and Social and Economic Outcomes: Models, Prediction, and Regulation";"5";19000;2012
"Cordy, James J R";"Computing, School of";"Queen's";"RGPIN";"Software Analysis and Transformation Systems";"5";42000;2012
"Czarnecki, Krzysztof K";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Lightweight Modeling to Improve Requirements Engineering of Enterprise Software";"5";42000;2012
"Dahl, Veronica VD";"Computing Science, School of";"Simon Fraser";"RGPIN";"Constraint Solving for Language Processing and Bioinformatics";"5";14000;2012
"de Freitas, Joao (Nando) JFGF";"Computer Science";"British Columbia";"RGPIN";"Feature learning";"5";52000;2012
"de Lara, Eyal E";"Computer Science";"Toronto";"RGPIN";"System Support for Next Generation Cloud Computing";"5";34000;2012
"Dean, Thomas TR";"Electrical and Computer Engineering";"Queen's";"RGPIN";"Language Based Software Engineering for Large Web Based Systems";"5";17000;2012
"Debbabi, Mourad M";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Aspect-Oriented Security Hardening of Design Models";"5";34000;2012
"Delgrande, James JP";"Computing Science, School of";"Simon Fraser";"RGPIN";"Belief change in rational agents (with application to action formalisms, ontologies, and inferentially weak systems)";"5";42000;2012
"Demke-Brown, Angela AKD";"Computer Science";"Toronto";"RGPIN";"Dr. OS: Operating system analysis, debugging and security tools based on dynamic binary translation";"5";28000;2012
"Desharnais, Josee J";"Informatique et de genie logiciel";"Laval";"RGPIN";"Duality, approximations and distances for probabilistic processes";"5";28000;2012
"Desharnais, Jules J";"Informatique et de genie logiciel";"Laval";"RGPIN";"Domain algebra, quantum algebra, refinement algebra";"5";28000;2012
"Desmarais, Michel MC";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Algorithms and Applications of Learned Student Models for Adaptive Learning Systems";"5";34000;2012
"Dick, Scott SH";"Electrical and Computer Engineering";"Alberta";"RGPIN";"Novel developments in computational intelligence with applications to data stream mining";"5";22000;2012
"Doedel, Eusebius EJ";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Numerical Analysis of Bifurcation Problems";"5";42000;2012
"Drew, Mark MS";"Computing Science, School of";"Simon Fraser";"RGPIN";"Physics-based colour models in computer vision, colour science, graphics and multimedia";"5";34000;2012
"Dutchyn, Christopher CJ";"Computer Science";"Saskatchewan";"RGPIN";"Rigorous Modularity: formalizing and verifying software constructions";"5";14000;2012
"El-Khatib, Khalil K";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Securing the Next-Generation Smart Electric Grid";"5";17000;2012
"Ellis, Randy RE";"Computing, School of";"Queen's";"RGPIN";"Computational Models For Surgical Navigation";"5";42000;2012
"Ester, Martin M";"Computing Science, School of";"Simon Fraser";"RGPIN";"Probabilistic Graphical Models for Data Mining and Recommendation in Social Media";"5";34000;2012
"Fedorova, Alexandra A";"Computing Science, School of";"Simon Fraser";"RGPIN";"Eliminating energy waste in memory systems by improving the software";"5";22000;2012
"Franek, Frantisek F";"Computing and Software";"McMaster";"RGPIN";"Computational and combinatorial approaches to periodicities in strings";"5";14000;2012
"Friedman, Joel J";"Computer Science";"British Columbia";"RGPIN";"Expanders and Related Topics";"5";28000;2012
"Ganjali, Yashar Y";"Computer Science";"Toronto";"RGPIN";"Control and Management for Next Generation Networks";"5";22000;2012
"Garcia, Ronald R";"Computer Science";"British Columbia";"RGPIN";"Enhancing Support for Metaprogramming";"5";22000;2012
"Glitho, Roch RH";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Application and Service Architectures for Machine-to-Machine (M2M) Communications";"5";28000;2012
"Goel, Ashvin A";"Electrical and Computer Engineering, Edward S. Rogers Sr. Department of";"Toronto";"RGPIN";"End-to-End Data Reliability with Runtime Verification";"5";22000;2012
"Golab, Lukasz L";"Management Sciences";"Waterloo";"RGPIN";"Characterizing and Improving Data Quality in Very Large Databases";"5";28000;2012
"Goldberg, Ian IA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Privacy-enhanced protocols for Internet transactions";"5";34000;2012
"Gong, Minglun M";"Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Computer vision algorithms for live video processing using programmable graphics hardware";"5";22000;2012
"Gooch, Amy A";"Computer Science";"Victoria";"RGPIN";"Framework for Preserving Salience through Perceptual Differences in Spectral Image Creation and Manipulation: From Scene to Display";"5";17000;2012
"Gopalakrishnan, Sathish S";"Electrical and Computer Engineering";"British Columbia";"RGPIN";"Enabling adaptation in embedded and real-time systems";"5";28000;2012
"Graf, Sabine S";"Computing & Information Systems, School of";"Athabasca";"RGPIN";"Combining User Profiling and Context Modelling to Provide Advanced Adaptivity and Personalization";"5";19000;2012
"Graham, T.C. Nicholas TCN";"Computing, School of";"Queen's";"RGPIN";"Software Engineering of Networked Digital Games";"5";22000;2012
"Greif, Chen C";"Computer Science";"British Columbia";"RGPIN";"Iterative Solvers for Saddle-Point Systems";"5";28000;2012
"Gromala, Diane DJ";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"VR Systems for Body Image and Body Schema";"1";17000;2012
"Gu, Qianping QP";"Computing Science, School of";"Simon Fraser";"RGPIN";"Branch-decomposition of Graphs and Its Algorithmic Applications";"5";28000;2012
"Gueheneuc, Yann-Gael YGP";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Building Practical Software Quality Models";"5";34000;2012
"Guenin, Bertrand BFA";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Structural problems and minimax relations in graphs and matroids";"3";17000;2012
"Gupta, Kamal K";"Engineering Science, School of";"Simon Fraser";"RGPIN";"Towards Autonomous Mobile Manipulation in Human Environments";"5";28000;2012
"Gutwin, Carl CA";"Computer Science";"Saskatchewan";"RGPIN";"Improving Quality of Interaction in Distributed Real-Time Groupware";"5";52000;2012
"Hahn, Gena G";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Graph searching and applications";"5";17000;2012
"Hamou-Lhadj, Abdelwahab AH";"Electrical and Computer Engineering";"Concordia";"RGPIN";"Improving Software Maintenance through Advanced Trace Analysis and Abstraction Techniques";"5";14000;2012
"Haque, Waqar U WU";"Computer Science";"Northern British Columbia";"RGPIN";"Distributed Real-Time Transaction Processing";"5";17000;2012
"Hardy, Simon SV";"Biochimie, de microbiologie et de bio-informatique";"Laval";"RGPIN";"Computational modeling and analysis of the dynamics of control mechanisms in molecular interaction networks of neurons";"5";19000;2012
"He, Meng M";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Succinct Data Structures with Applications to Large Data Sets";"5";22000;2012
"He, Wenbo W";"Computer Science, School of";"McGill";"RGPIN";"Thwarting Wi-Fi Side-Channel Analysis through Traffic Demultiplexing";"5";22000;2012
"Hepting, Daryl D H";"Computer Science";"Regina";"RGPIN";"Personalization of interaction based on discovered constructs";"5";14000;2012
"Hindle, Abram AJ";"Computing Science";"Alberta";"RGPIN";"Green Mining: Keeping Software Sustainable by Engineering for Power Consumption";"5";19000;2012
"Hinton, Geoffrey G E";"Computer Science";"Toronto";"RGPIN";"Machine Learning for Perception";"5";122000;2012
"Hoffert, Joseph JWH";"Computing Science";"King's University College";"RGPIN";"Evaluating and Adapting Distributed;2012
"Holte, Robert RC";"Computing Science";"Alberta";"RGPIN";"High-Performance Domain-Independent Heuristic Search";"5";42000;2012
"Inkpen, Diana DM";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Natural Language Generation and Analysis";"5";17000;2012
"Jepson, Allan AD";"Computer Science";"Toronto";"RGPIN";"Probabilistic Models for Image and Video Parsing";"5";28000;2012
"Johnson, Ryan FR";"Computer and Mathematical Sciences";"Toronto";"RGPIN";"Hardware-augmented database engines in a dark silicon era";"5";22000;2012
"Jurgensen, Helmut H";"Computer Science";"Western Ontario";"RGPIN";"Formal Languages, Codes, Automata";"5";17000;2012
"Jurisica, Igor I";"Computer Science";"Toronto";"RGPIN";"Scalable intelligent systems for integrative analyses in computational biology";"1";17000;2012
"Jutla, Dawn DN";"Finance, Information Systems, and Management Science";"Saint Mary's";"RGPIN";"Accessibility in identity and privacy protection mechanisms for Web applications";"5";17000;2012
"Kabanets, Valentine V";"Computing Science, School of";"Simon Fraser";"RGPIN";"Meta-Algorithms versus Circuit Lower Bounds";"5";34000;2012
"Kahl, Wolfram W";"Computing and Software";"McMaster";"RGPIN";"Pushing the Frontier with Dependently Typed Programming in High-Level Structures";"5";14000;2012
"Kaplan, Craig CS";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Tile-based methods for constructing Islamic geometric patterns";"1";17000;2012
"Karakostas, George G";"Computing and Software";"McMaster";"RGPIN";"Algorithmic and game-theoretic analysis of network design";"5";17000;2012
"Kari, Lila L";"Computer Science";"Western Ontario";"RGPIN";"Foundational Aspects of Biomolecular Information and Computation";"5";34000;2012
"Keshav, Srinivasan S";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Information Systems and Science for Energy";"5";28000;2012
"Kharma, Nawwaf N";"Electrical and Computer Engineering";"Concordia";"RGPIN";"Evolutionary Computing Application to Biomedical Image Segmentation";"5";14000;2012
"Kienzle, Jörg JA";"Computer Science, School of";"McGill";"RGPIN";"Model-Driven Aspect-Oriented Software Development";"5";22000;2012
"Kim, Kibum K";"Computing, School of";"Queen's";"RGPIN";"Supporting Peripheral Participation on the Non-Planar Displays";"5";19000;2012
"Kiringa, Iluju I";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Processing Queries over Conceptual Integration Schemas";"5";17000;2012
"Kondrak, Grzegorz G";"Computing Science";"Alberta";"RGPIN";"Natural Language Processing at the Sub-Word Level";"5";17000;2012
"Könemann, Jochen J";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Flexible and Effective Techniques for the Design of Approximation Algorithms";"5";42000;2012
"Konstantinidis, Stavros S";"Mathematics and Computing Science";"Saint Mary's";"RGPIN";"Independent formal languages: structure, algorithms, complexity, implementation";"5";27920;2012
"Kunz, Thomas H";"Systems and Computer Engineering";"Carleton";"RGPIN";"Systematic Design and Implementation of Network Protocols for Mobile Multihop Wireless Networks";"5";28000;2012
"Kurgan, Lukasz LA";"Electrical and Computer Engineering";"Alberta";"RGPIN";"High-throughput characterization, prediction, and applications of protein disorder";"5";34000;2012
"Lam, Clement CWH";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Construction of Designs and Codes using computers";"5";14000;2012
"Langlais, Philippe PHJ";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Analogical Learning for Natural Language Processing";"5";22000;2012
"Lank, Edward EH";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Motion Gestures as an Input Modality for Modern Smartphones";"5";28000;2012
"Lanson, Nathalie NV";"Applied Mathematics";"Waterloo";"RGPIN";"Meshfree hybrid Lagrangian numerical methods for the simulation of cardiac flows.";"3";14000;2012
"Larochelle, Hugo H";"Informatique";"Sherbrooke";"RGPIN";"Learning Algorithms for Deep Architecture Systems (Algorithmes d'Apprentissage pour Systèmes a Architecture Profonde)";"5";22000;2012
"Lawford, Mark MS";"Computing and Software";"McMaster";"RGPIN";"Certification of Safety-Critical Real-Time Systems";"5";22000;2012
"Lawrence, Ramon R";"Okanagan - Psychology & Computer Science";"British Columbia";"RGPIN";"Efficient Data Management for Tiny Embedded Devices";"5";17000;2012
"Leduc, Ryan J";"Computing and Software";"McMaster";"RGPIN";"Scalability and Implementation Issues for Discrete-Event Systems";"5";14000;2012
"Lemire, Daniel DA";"Tele-universite (TELUQ) - Montreal";"Quebec a Montreal";"RGPIN";"Data reordering for better compression in databases";"5";28000;2012
"Leung, Carson Kai-Sang CKS";"Computer Science";"Manitoba";"RGPIN";"Mining Interesting Useful Patterns";"5";22000;2012
"Leyton-Brown, Kevin KE";"Computer Science";"British Columbia";"RGPIN";"Computational Game-Theoretic Analysis: Methods and Applications";"5";42000;2012
"Lin, Guohui G";"Computing Science";"Alberta";"RGPIN";"Bioinformatics Algorithm Design and Analysis, and Web-Service Development";"5";28000;2012
"Ling, Charles CX";"Computer Science";"Western Ontario";"RGPIN";"Improving Information Retrieval with Machine Learning";"5";34000;2012
"Linney, Norma C";"Mathematics and Computing Science";"Saint Mary's";"RGPIN";"Development of Computer Vision ;2012
"Liu, Xue X";"Computer Science, School of";"McGill";"RGPIN";"Toward Efficient and Green Power Management for Internet Data Centers";"5";28000;2012
"Lizotte, Daniel DJ";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Machine learning for non-myopic decision support and knowledge discovery";"5";22000;2012
"Lopez-Ortiz, Alejandro A";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Online algorithms, paging and multicore architectures (CMP)";"5";42000;2012
"MacGillivray, Gary G";"Mathematics and Statistics";"Victoria";"RGPIN";"Combinatorial problems with a view towards algorithms and complexity";"5";28000;2012
"Maheswaran, Muthucumaru M";"Computer Science, School of";"McGill";"RGPIN";"Data Security and Accountable Privacy in Cloud Computing Systems";"5";28000;2012
"Mannan, Mohammad MA";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Security and Privacy of High Impact Computer Applications";"5";22000;2012
"Maurer, Frank FO";"Computer Science";"Calgary";"RGPIN";"Agile software engineering for cloud-based applications";"1";17000;2012
"Mayers, Andre A";"Informatique";"Sherbrooke";"RGPIN";"Integration des connaissances conceptuelles aux systèmes tutoriels intelligents : theorie et realisation";"5";14000;2012
"McGrenere, Joanna JL";"Computer Science";"British Columbia";"RGPIN";"The Design of Information Computing Technology for Older Adults";"5";42000;2012
"McIlraith, Sheila A";"Computer Science";"Toronto";"RGPIN";"AI Decision Support in the Age of Big Data";"5";28000;2012
"McKenzie, Pierre M";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"The computational complexity of polynomial time problems";"5";22000;2012
"Mili, Hafedh HBT";"Informatique";"Quebec a Montreal";"RGPIN";"Towards developing software from a description of the business processes they support";"5";22000;2012
"Mishna, Marni MJ";"Mathematics";"Simon Fraser";"RGPIN";"Applied Analytic Combinatorics";"5";22000;2012
"Mitchell, Ian IM";"Computer Science";"British Columbia";"RGPIN";"Nonlinear Algorithms for Verification, Control, Design and Analysis of Nonlinear Continuous and Hybrid Systems";"5";22000;2012
"Moffatt, Karyn KA";"School of Information Studies";"McGill";"RGPIN";"Socially-Informed Accessible Technology: Improving Access to Technology, Information, and People";"5";27000;2012
"Monnier, Stefan S";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Typer: a Lisp approach to dependent types";"5";14000;2012
"Morgan, Yasser L";"Engineering, Faculty of";"Regina";"RGPIN";"Towards Hierarchical Autonomous Context-Aware Distributed Clustered Vehicular Ad-hoc Networks (VANET)";"5";14000;2012
"Mould, David DR";"Computer Science, School of";"Carleton";"RGPIN";"Sparse Primitives for Stylized Image Synthesis";"5";22000;2012
"Muir, Paul H";"Mathematics and Computing Science";"Saint Mary's";"RGPIN";"Software for Error Controlled ;2012
"Munro, Ian J I";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Efficiency of Data Structures";"5";92000;2012
"Nacke, Lennart PE";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Developing and Analysing Adaptive, Enjoyable and Engaging Human-Computer Interfaces";"5";22000;2012
"Nkambou, Roger R";"Informatique";"Quebec a Montreal";"RGPIN";"Domain Knowledge Modelling for Educational Purposes: Methods and Tools";"5";22000;2012
"Nowrouzezahrai, Derek D";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Theoretical Analysis and User-oriented Controls of Image Synthesis and Animation";"5";33000;2012
"Ormandjieva, Olga O";"Computer Science and Software Engineering";"Concordia";"RGPIN";"WEB-based Dynamic Social Networks (WDSN) Framework for Measurement-informed Decisionmaking under Uncertainty";"5";14000;2012
"Osborn, Sylvia SL";"Computer Science";"Western Ontario";"RGPIN";"Database Access Control and Privacy";"5";14000;2012
"Pai, Dinesh DK";"Computer Science";"British Columbia";"RGPIN";"Computational Models of Humans: Movement and Contact";"5";78000;2012
"Paige, Christopher CC";"Computer Science, School of";"McGill";"RGPIN";"Numerical linear algebra: large sparse matrix computations.";"5";19000;2012
"Parizeau, Marc M";"Genie electrique et genie informatique";"Laval";"RGPIN";"Apprentissage incremental pour les reseaux de capteurs sans fils intelligents";"5";14000;2012
"Pawlak, Mirek MP";"Electrical and Computer Engineering";"Manitoba";"RGPIN";"Large-Scale Machine Learning: Sparse Representations for Signal/Image Processing and System Modeling";"5";42000;2012
"Pesant, Gilles G";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Counting-Based Search in Constraint;2012
"Pestov, Vladimir VG";"Mathematics and Statistics";"Ottawa";"RGPIN";"New set-theoretic tools for statistical learning";"5";22000;2012
"Petrenko, Alexandre A";"Analyse de systèmes distribues";"Centre de recherche info de Montreal";"RGPIN";"Distributed Systems Testing";"5";17000;2012
"Pientka, Brigitte B";"Computer Science, School of";"McGill";"RGPIN";"Proofware: establishing trustworthy computing through programming with proofs";"5";28000;2012
"Pierre, Samuel S";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Reseautique du futur";"5";34000;2012
"Pigot, Helène HF";"Sciences, Faculte des";"Sherbrooke";"RGPIN";"Interfaces tangibles et compensation de la memoire prospective";"5";22000;2012
"Pineau, Joelle J";"Computer Science, School of";"McGill";"RGPIN";"Regularized Reinforcement Learning";"5";52000;2012
"Pitassi, Toniann T";"Computer Science";"Toronto";"RGPIN";"New Directions in Proof Complexity and Communication Complexity";"5";78000;2012
"Pu, Ken KQ";"Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Humanized Database Systems";"5";17000;2012
"Quintero, Jose Alejandro JA";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Gestion de l'itinerance des reseaux mobiles heterogènes de prochaine generation";"5";22000;2012
"Ramanna, Sheela RS";"Applied Computer Science";"Winnipeg";"RGPIN";"Discovery of Patterns in Associated Sets: Foundations and Applications";"5";14000;2012
"Reed, Bruce A";"Computer Science, School of";"McGill";"RGPIN";"The Combinatorics of Complex Networks";"5";62000;2012
"Reilly, Derek DF";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Document-centric mixed reality for connecting remote workgroups";"5";19000;2012
"Robert, Jean-Marc JM";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Secure Telecommunication ;2012
"Ruhe, Guenther GH";"Computer Science";"Calgary";"RGPIN";"Decision support for product release management under functional and non-functional requirements";"5";34000;2012
"Sahinalp, Cenk S";"Computing Science, School of";"Simon Fraser";"RGPIN";"Algorithmic challenges in population scale genomics";"5";62000;2012
"Salem, Kenneth KM";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Data Services for Cloud Applications";"5";34000;2012
"Samavati, Faramarz F";"Computer Science";"Calgary";"RGPIN";"Multiresolution for Interactive Modeling";"5";28000;2012
"Sampalli, Srinivas S";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"An Integrated Security and Reliability Framework for Resource-constrained Wireless Networks";"5";28000;2012
"Sanita, Laura L";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Routing algorithms and protocols in current and future telecommunication networks";"5";22000;2012
"Sartipi, Kamran K";"Engineering and Applied Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Environment for Smart, Customizable, and Collaborative Service Analysis and Integration";"1";14000;2012
"Sawada, Joe J";"Computing and Information Science, School of";"Guelph";"RGPIN";"Combinatorial and Graph Algorithms";"5";17000;2012
"Schneider, Kevin K A";"Computer Science";"Saskatchewan";"RGPIN";"Collaborative Software Evolution";"1";14000;2012
"Scott, Stacey SD";"Systems Design Engineering";"Waterloo";"RGPIN";"Individual and Collaborative Benefits of Interactive Large-Screen Display Systems";"5";22000;2012
"Sekerinski, Emil E";"Computing and Software";"McMaster";"RGPIN";"Programming Methodology for Multi-Core Concurrency and Adaptation";"5";14000;2012
"Selinger, Peter P";"Mathematics and Statistics";"Dalhousie";"RGPIN";"Structural Approaches to Quantum Computing";"5";28000;2012
"Selouani, Sid-Ahmed SA";"Campus de Shippagan";"Moncton";"RGPIN";"Speech recognition and ;2012
"Sheffer, Alla A";"Computer Science";"British Columbia";"RGPIN";"Creation of Detailed Virtual Shapes: Foundations and Tools";"5";52000;2012
"Shiri-Varnaamkhaasti, Nematollaah N";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Parametric Uncertain Database Management Systems";"1";14000;2012
"Sillito, Jonathan JP";"Computer Science";"Calgary";"RGPIN";"Computational Science and Engineering and Source Code Evolution";"5";17000;2012
"Sled, John JG";"Medical Biophysics";"Toronto";"RGPIN";"Computational Methods for the Analysis of Cerebral Vasculature";"5";22000;2012
"Smid, Michiel M";"Computer Science, School of";"Carleton";"RGPIN";"Optimization Problems in Computational Geometry";"5";34000;2012
"Smyth, William W F";"Computing and Software";"McMaster";"RGPIN";"Regularities in Strings: New Combinatorial Properties, More Efficient Algorithms, Applications";"5";17000;2012
"Srinivasan, Venkatesh V";"Computer Science";"Victoria";"RGPIN";"Information Extraction from Interconnected Data: An Algorithmic Study";"5";22000;2012
"Stacho, Ladislav L";"Mathematics";"Simon Fraser";"RGPIN";"Theoretical aspects and algorithms for architectural design and communication in current networks";"5";28000;2012
"Stashuk, Daniel DW";"Systems Design Engineering";"Waterloo";"RGPIN";"Decision Support for Clinical Neurophysiology";"5";17000;2012
"Stevenson, Suzanne A";"Computer Science";"Toronto";"RGPIN";"Probabilistic Approaches to Learning the Semantics and Syntax of Words";"5";34000;2012
"Stewart, James AJK";"Computing, School of";"Queen's";"RGPIN";"Advances in Computer Assisted Mosaic Arthroplasty";"5";34000;2012
"Stuerzlinger, Wolfgang W";"Computer Science and Engineering";"York";"RGPIN";"Touch the Third Dimension: Simple-To-Use Three-Dimensional User Interfaces";"1";14000;2012
"Suen, Ching CY";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Error Reduction in Handwriting Recognition";"5";34000;2012
"Szepesvari, Csaba CS";"Computing Science";"Alberta";"RGPIN";"Interactive online learning";"5";42000;2012
"Szpakowicz, Stan S";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Making sense of semantic relations";"5";14000;2012
"Tahvildari, Ladan L";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"A Context-Aware Software Adaptation Framework";"5";22000;2012
"Tang, Anthony AHT";"Computer Science";"Calgary";"RGPIN";"Collaboration with personal devices in digital workrooms";"5";22000;2012
