"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Anderson, JE";"Computer Science";"Manitoba";"RGPIN";"Flexible team formation and task allocation for multi-robot systems in complex domains";"5";19000;2009
"Ansermino, MJ";"Medicine, Faculty of";"British Columbia";"RGPIN";"An integrated expert system for physiological monitoring";"1";15000;2009
"Arya, A";"Information Technology, School of";"Carleton";"RGPIN";"Real-time intelligent generation of human behaviours for interactive virtual environments";"5";19000;2009
"Asudeh, A";"Cognitive Science, Institute of";"Carleton";"RGPIN";"Constraint-based syntax and semantics";"5";19000;2009
"Avis, DM";"Computer Science, School of";"McGill";"RGPIN";"Polyhedral computation and quantum information";"5";35000;2009
"Ben-David, S";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Theoretical analysis of emerging machine learning paradigms";"5";40000;2009
"Bengio, Y";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Learning deep architectures for AI";"5";70000;2009
"Bergeron, A";"Informatique";"Quebec a Montreal";"RGPIN";"Algorithms in comparative genomics, transcriptome assembly, and metagenomics";"5";24000;2009
"Bergler, S";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Composing meaning";"5";24000;2009
"Bose, PK";"Computer Science, School of";"Carleton";"RGPIN";"Geometric computing";"5";40000;2009
"Bouchard, B";"Informatique-mathematique";"Quebec a Chicoutimi";"RGPIN";"Un modele hybride de reconnaissance d'activites d'un patient d'Alzheimer dans un habitat intelligent base sur la logique possibiliste";"5";19000;2009
"Brewster, RC";"Mathematics and Statistics";"Thompson Rivers";"RGPIN";"Computational complexity of combinatorial and graph theoretic problems";"5";19000;2009
"Brooks, S";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Rendering and presentation of spatial data";"5";24000;2009
"Bulitko, V";"Computing Science";"Alberta";"RGPIN";"Real-time Heuristic search and player modeling";"5";35000;2009
"Butler, G";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Knowledge-based bioinformatics";"5";24000;2009
"Cameron, KB";"Mathematics";"Wilfrid Laurier";"RGPIN";"Graph algorithms";"5";15000;2009
"Cheng, L-O";"Computing Science";"Alberta";"RGPIN";"Perceptually enhanced graphics and multimedia";"5";15000;2009
"Cheriet, M";"Genie de la production automatisee";"Ecole de technologie superieure";"RGPIN";"Digital access and transcription of historical and complex document images";"5";30000;2009
"Cheriyan, J";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Approximation algorithms for NP-hard problems in network design";"5";30000;2009
"Chiu, DKY";"Computing and Information Science";"Guelph";"RGPIN";"Pattern-discovery and related algorithms";"5";19000;2009
"Chvatal, V";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Branching rules and resolution search in combinatorial optimization";"5";30000;2009
"Crepeau, C";"Computer Science, School of";"McGill";"RGPIN";"Post-quantum and quantum cryptography";"5";35000;2009
"Davies, JD";"Cognitive Science, Institute of";"Carleton";"RGPIN";"Visuospatial scene generation";"5";19000;2009
"Dueck, GW";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Synthesis of reversible logic functions";"5";19000;2009
"Duntsch, IV";"Computer Science";"Brock";"RGPIN";"Algebraic and logical methods for data analysis";"1";15000;2009
"Dussault, JP";"Informatique";"Sherbrooke";"RGPIN";"Solution numerique de problemes d'equilibre";"5";19000;2009
"Eagleson, RA";"Electrical and Computer Engineering";"Western Ontario";"RGPIN";"Surgical telerobotics visualization and performance evaluation";"5";19000;2009
"Ergun, AF";"Computing Science";"Simon Fraser";"RGPIN";"Algorithms and lower bounds for sublinear processing of long sequences and large data";"5";30000;2009
"Fiala, M";"Computer Science";"Ryerson";"RGPIN";"Development of computer vision based localization and mapping for robotics and augmented reality";"5";15000;2009
"Fiume, EL";"Computer Science";"Toronto";"RGPIN";"Scale-sensitive representations for realistic computer graphics";"5";50000;2009
"Frasson, C";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Emotionally based intelligent tutoring systems";"5";24000;2009
"Frost, RA";"Computer Science, School of";"Windsor";"RGPIN";"Theory/tools to support the creation and deployment of speech applications";"1";15000;2009
"Funt, BV";"Computing Science";"Simon Fraser";"RGPIN";"Computational colour vision";"5";40000;2009
"Gagnon, L";"Recherche et Developpement";"Centre de recherche info de Montreal";"RGPIN";"Content-based video summarization system";"1";15000;2009
"Gao, Y";"Okanagan - Psychology & Computer Science";"British Columbia";"RGPIN";"Algorithms and complexity of hard problems: bridging the gap between theory and practice";"5";19000;2009
"Gaur, D";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Linear programming based approximation algorithms for optimization problems";"5";19000;2009
"Ghodsi Boushehri, A";"Statistics and Actuarial Science";"Waterloo";"RGPIN";"Dimensionality reduction: methodology and applications";"5";19000;2009
"Goebel, RG";"Computing Science";"Alberta";"RGPIN";"Aspects of hypothesis space management";"5";30000;2009
"Gondra, I";"Mathematics, Statistics and Computing Sciences";"St. Francis Xavier";"RGPIN";"Machine learning methods for strong image segmentation";"5";19000;2009
"Gruninger, MJ";"Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Ontologies for manufacturing standards";"5";19000;2009
"Hamilton, HJ";"Computer Science";"Regina";"RGPIN";"Interestingness measures analysis, expectation-based data mining and animated plans";"5";40000;2009
"Harvey, NJA";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Cominatorial optimization and communication networks";"5";29000;2009
"Hell, PT";"Computing Science";"Simon Fraser";"RGPIN";"Complexity of partition problems";"5";60000;2009
"Hirst, GJ";"Computer Science";"Toronto";"RGPIN";"Nuances of meaning, paraphrase, and argument identification in applications of natural language processing";"5";50000;2009
"Hossain, S";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Computing with sparse and structured matrices: mathematical derivatives and beyond";"5";19000;2009
"Houghten, SK";"Computer Science";"Brock";"RGPIN";"Computational techniques for combinatorial searches relating to coding theory and bioinformatics";"5";15000;2009
"Jacob, CJ";"Computer Science";"Calgary";"RGPIN";"From virtuality to reality and back: Emergent design ecologies to explore bio-inspired contructions of virtual worlds and their physical counterparts";"5";19000;2009
"Japkowicz, N";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"A visualization framework for machine learning evaluation";"5";24000;2009
"Jedwab, J";"Mathematics";"Simon Fraser";"RGPIN";"Aperiodic autocorrelation properties of sequences and arrays.";"5";30000;2009
"Joslin, CJJ";"Information Technology, School of";"Carleton";"RGPIN";"Adaptation methods for scalable graphics and animation on constrained devices";"1";15000;2009
"Keil, JM";"Computer Science";"Saskatchewan";"RGPIN";"Algorithmic approaches to hard geometric and graph theoretic problems";"5";19000;2009
"Kirkpatrick, DG";"Computer Science";"British Columbia";"RGPIN";"Computational complexity of geometric and combinatorial problems";"5";50000;2009
"Kobti, Z";"Computer Science, School of";"Windsor";"RGPIN";"Evolutionary learning in complex social system";"5";19000;2009
"Lamontagne, L";"Informatique et de genie logiciel";"Laval";"RGPIN";"Case-based reasoning for making decisions in dynamic game environments";"5";19000;2009
"Lapalme, G";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Natural language processing in the semantic web";"5";35000;2009
"Lee, WS";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Interactive fluid simulation and visualization";"5";30000;2009
"Li, Y";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Optimization and finance";"5";19000;2009
"Liao, SX";"Applied Computer Science and Administrative Studies";"Winnipeg";"RGPIN";"Image analysis with moment descriptors";"5";15000;2009
"Lilien, RH";"Computer Science";"Toronto";"RGPIN";"Novel Algorithms to expedite experimental protein structure determination";"5";24000;2009
"Mann, S";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Design intent in surface modeling";"5";30000;2009
"Molloy, MSO";"Computer Science";"Toronto";"RGPIN";"Probabilistic graph theory and theoretical computer science";"5";50000;2009
"Monagan, MB";"Mathematics";"Simon Fraser";"RGPIN";"Algorithms for multivariate polynomials";"5";24000;2009
"Moulin, B";"Informatique et de genie logiciel";"Laval";"RGPIN";"Holonic multi-agent geo-simulation for decision support";"5";40000;2009
"Myrvold, WJ";"Computer Science";"Victoria";"RGPIN";"Finding torus obstructions/graph theory and algorithms for chemistry";"5";30000;2009
"Nedialkov, NS";"Computing and Software";"McMaster";"RGPIN";"Numerical algorithms and software for high-index differential-algebraic equations";"5";15000;2009
"Nishimura, N";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Tractability in structured problems";"5";30000;2009
"Osgood, ND";"Computer Science";"Saskatchewan";"RGPIN";"Hygeia's toolbox: computation and mathematics in support of public health decision making and insight";"1";15000;2009
"Pal, CJ";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Large scare semi-supervised pattern recognition and data mining from images and text";"5";30000;2009
"Perkins, TJ";"Computer Science, School of";"McGill";"RGPIN";"Systems biology and biological information processing";"5";24000;2009
"Peters, JF";"Electrical and Computer Engineering";"Manitoba";"RGPIN";"Discovering affinities between perceptual granules: Foundations and applications";"5";24000;2009
"Pizzi, NJ";"Computer Science";"Manitoba";"RGPIN";"Classification methodology for mitigating the effects of unreliable class assignments in high dimensional biomedical data";"1";15000;2009
"Qiao, S";"Computing and Software";"McMaster";"RGPIN";"Integer least squares and sphere decoding";"5";19000;2009
"Qureshi, FZ";"Science, Faculty of";"UOIT";"RGPIN";"Virtual vision and smart camera networks";"5";19000;2009
"Rappaport, DH";"Computing, School of";"Queen's";"RGPIN";"Computational geometry and data analysis";"5";15000;2009
"Reichardt, BW";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Fault-tolerant quantum computing and quantum algorithms";"5";29000;2009
"Rogan, PK";"Biochemistry";"Western Ontario";"RGPIN";"Modeling mRNA splicing by exon definition in silico";"5";19000;2009
"Roy, SZ";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Stereo and photometric reconstruction for pose and shape tracking and view interpolation";"5";19000;2009
