"Name";"Department";"Institution";"Program";"Title";"Term";"amount";"a2"
"Lin, Guohui GH";"Department Computing Science";"Alberta";"RGPIN";"Algorithm design and analysis, web-database and web-server development in bioinformatics research driven by large volume data";"5";24000;24000
"Locasto, Michael NE";"Department Computer Science";"Calgary";"RGPIN";"Supporting software security by measuring, coordinating, and enforcing software trustworthiness";"5";29000;29000
"Lowe, David DG";"Department Computer Science";"British Columbia";"RGPIN";"Object category recognition with large training sets";"5";49000;49000
"Lyons, Kelly KA";"Department Information, Faculty of";"Toronto";"RGPIN";"Systematic Integration of Web 2.0 and Web 3D Tools in Service Systems";"1";14000;14000
"Ma, Bin B";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Bioinformatics tools for proteomics research";"5";49000;49000
"Mackworth, Alan AK";"Department Computer Science";"British Columbia";"RGPIN";"Constraint-based agents";"5";24000;24000
"Maheshwari, Anil A";"Department Computer Science, School of";"Carleton";"RGPIN";"Design, analysis and implementation of geometric and graph algorithms";"5";29000;29000
"Mahmoud, Qusay QH";"Department Computing and Information Science, School of";"Guelph";"RGPIN";"NetDNA: A middleware for seamless integration of devices, networks, and applications";"5";20000;20000
"Maibaum, Thomas TSE";"Department Computing and Software";"McMaster";"RGPIN";"Software architecture, model driven development and fault tolerance";"5";42000;42000
"Makarenkov, Vladimir V";"Department Informatique";"Quebec a Montreal";"RGPIN";"Methods and software for the analysis and classification of evolutionary and biomedical data";"5";42000;42000
"Makaroff, Dwight DJ";"Department Computer Science";"Saskatchewan";"RGPIN";"Performance and security in parallel and distributed systems";"5";14000;14000
"Marchand, Mario M";"Department Informatique et de genie logiciel";"Laval";"RGPIN";"PAC-Bayes learning and Kernel methods";"5";29000;29000
"Martin, Patrick TP";"Department Computing, School of";"Queen's";"RGPIN";"Self managing cloud data services (SMCDS)";"5";29000;29000
"Matwin, Stanislaw SJ";"Department Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Research in machine learning and data privacy";"5";42000;42000
"Mejri, Mohamed MM";"Department Informatique et de genie logiciel";"Laval";"RGPIN";"Renforcement formel et automatique de la securite informatique";"5";29000;29000
"Mesbah, Ali A";"Department Electrical and Computer Engineering";"British Columbia";"RGPIN";"Web application testing as an automated service";"5";24000;24000
