"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Chiang, Fei Yen FY";"Computing and Software";"McMaster";"RGPIN";"Improving Data Quality in Protected and Dynamic Data Environments";"5";20000
"Chignell, Mark H";"Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Confidential Reasoning about Data Using Abstract Types as Meaningful Proxies";"5";25000
"Childs, Andrew AM";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Algorithms for quantum computers";"5";44000
"Cleve, Richard RE";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Quantum information and complexity theory";"5";36000
"Consens, Mariano MP";"Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Managing Linked Data in the Cloud";"5";25000
"Courville, Aaron C";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Probabilistic Models for Automatic Equivariant Feature Discovery";"5";15000
"Daley, Mark MJ";"Computer Science";"Western Ontario";"RGPIN";"Natural computation in the mesoscale dynamics of the brain";"5";30000
"De Sterck, Hans HJM";"Applied Mathematics";"Waterloo";"RGPIN";"Multilevel Algorithms for Tensor and Network Problems";"5";36000
"Dehne, Frank F";"Computer Science, School of";"Carleton";"EQPEQ";"Personalized human protein interactomes";"1";13015
"Derpanis, Konstantinos K";"Computer Science";"Ryerson";"RGPIN";"Spatiotemporal Models for Analyzing and Understanding Video";"5";20000
"Dudek, Gregory L";"Computer Science, School of";"McGill";"RGPIN";"Multi-agent robotic interaction";"1";30000
"Duong, Luc LY";"Genie logiciel et des TI";"Ecole de technologie superieure";"EQPEQ";"Electromagnetic measurement system for intravascular motion compensation";"1";22000
"Dymond, Patrick PW";"Computer Science and Engineering";"York";"RGPIN";"Searching, algorithms and complexity";"5";15000
"Eavis, Todd J";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Business Intelligence and Analytics in the Elastic Cloud";"5";15000
"El Saddik, Abdulmotaleb AE";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Towards innovative methods for multimodal interactions with advanced media and serious gaming";"5";36000
"El-Mabrouk, Nadia NS";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Evolution of Genome Organization";"5";36000
"Faloutsos, Petros P";"Computer Science and Engineering";"York";"RGPIN";"Authoring and Analyzing Crowd Simulations";"5";25000
"Farzad, Babak B";"Mathematics";"Brock";"RGPIN";"Algorithmic and Computational Graph Theory and Game Theory";"5";15000
"Fels, Sidney S";"Electrical and Computer Engineering";"British Columbia";"EQPEQ";"8 Channel Multipurpose MRI coil for High Speed MR Imaging";"1";47125
"Fernandez, Jose Manuel JM";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Evaluating the risk reduction value of security products against mass market cyber crime";"5";20000
"Fischmeister, Sebastian SN";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Rigorous Empirical Performance Analysis of Embedded Systems";"5";36000
"Fischmeister, Sebastian SN";"Electrical & Computer Engineering";"Waterloo";"EQPEQ";"Embedded Software Validation Laboratory";"1";43590
"Fleming, Michael MW";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Modeling user preferences in the design of decision-making agents";"5";15000
"Fournier-Viger, Philippe P";"Informatique";"Moncton";"RGPIN";"Algorithms, data structures and visualization for sequence analysis and prediction";"5";20000
"Frey, Brendan BJ";"Electrical & Computer Engineering";"Toronto";"RGPIN";"A Unified Computational Model of Gene Regulation";"5";52000
"Friedlander, Michael MP";"Computer Science";"British Columbia";"RGPIN";"Large-scale optimization: algorithm design and analysis";"5";36000
"Fung, Benjamin BCM";"Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Privacy-Preserving Data Sharing for Health Data Mining";"5";30000
"Gagne, Caroline C";"Sciences economiques et administratives DSEA";"Quebec a Chicoutimi";"RGPIN";"Optimization-based decision support systems for multiobjective decision making";"5";20000
"Ganesh, Vijay V";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Next-generation Constraint Solvers for Software Engineering and Security";"5";25000
"Gasevic, Dragan D";"Computing & Information Systems, School of";"Athabasca";"RGPIN";"Learning Analytics for Adaptive Systems supporting Self-regulated Social Learning";"5";15000
"Ghaderi Dehkordi, Majid M";"Computer Science";"Calgary";"RGPIN";"Exploiting Interference in Wireless Networks: Protocol Design, Analysis and Implementation";"5";20000
"Giesbrecht, Mark MW";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"High Performance Algorithms for Sparse and Structured Symbolic Computations";"5";36000
"Glasser, Uwe UP";"Computing Science, School of";"Simon Fraser";"RGPIN";"Situation Analysis Decision Support Systems Design";"5";30000
"Godfrey, Michael MW";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Investigating software artifact provenance";"5";20000
"Golab, Wojciech W";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Harnessing the power of next-generation shared memory multiprocessors";"5";25000
"Gromala, Diane DJ";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"VR Systems for Body Image and Body Schema";"5";25000
"Gryz, Jaroslaw J";"Computer Science and Engineering";"York";"RGPIN";"Order Dependencies in Database Systems";"5";36000
"Gupta, Kamal K";"Engineering Science, School of";"Simon Fraser";"EQPEQ";"Additional modules for SFU Autonomous Mobile Manipulator";"1";49940
"Haarslev, Volker M";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Design of optimization techniques and software architectures for description logic reasoners";"5";30000
"Hassanein, Khaled KS";"Business, DeGroote School of";"McMaster";"RGPIN";"Customized Decision Support for Older Adults in eCommerce Environments";"5";25000
"Hatala, Marek M";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Model and Methods for Determining Effectiveness of Open Learner Models";"5";20000
"Hayden, Patrick PM";"Computer Science, School of";"McGill";"RGPIN";"Computing the spectrum: Information physics from cryptography to cosmology";"5";62000
"Haynes, Ronald RD";"Mathematics and Statistics";"Memorial Univ. of Nfld";"RGPIN";"Parallel Space-Time Approaches for the Numerical Solution of Partial Differential Equations";"5";30000
"Head, Milena MM";"Business, DeGroote School of";"McMaster";"RGPIN";"Designing and Evaluating Engaging Interfaces for Educational Games";"5";15000
"Hunter, Aaron AM";"Computing and Academic Studies, School of";"BC Institute of Technology";"RGPIN";"Knowledge Representation for Vehicle to Grid Systems: Power Monitoring, Storage and Trade";"5";15000
"Ilie, Lucian L";"Computer Science";"Western Ontario";"EQPEQ";"Bioinformatics Tools for Advancing Genomics and Proteomics";"1";69333
"Irani, Pourang P";"Computer Science";"Manitoba";"RGPIN";"Transforming Ultra-Portable Devices into Information-Rich Appliances";"5";30000
"Jaseemuddin, Muhammad M";"Electrical and Computer Engineering";"Ryerson";"RGPIN";"Connectivity, Resource Management and Application-enabling Infrastructure for Networking of Smart Mobile Devices";"5";15000
"Jenkin, Michael RM";"Computer Science and Engineering";"York";"EQPEQ";"6DOF virtual reality tracker";"1";29414
"Jiang, Hui H";"Computer Science and Engineering";"York";"RGPIN";"Large-Scale Discriminative Modelling for Data-Intensive Speech and Language Processing";"5";25000
"Jodoin, Pierre-Marc PM";"Informatique";"Sherbrooke";"RGPIN";"Analyse de contenu et detection d'anomalies pour des applications en surveillance video et imagerie medicale.";"5";20000
"Jurisica, Igor I";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Developing novel heuristic methods for integrative computational biology";"5";44000
"Kadoury, Samuel S";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Topologically invariant manifold learning for medical imaging";"5";20000
"Karsten, Martin M";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Simplifying the Software Infrastructure of Computer and Communication Systems";"5";20000
"Kelly, Jonathan JS";"Aerospace Studies, Institute for";"Toronto";"RGPIN";"Continuous Self-Calibration for Lifelong Autonomy";"5";20000
